t,amk_torque_limit_neg_left,amk_torque_limit_pos_left,amk_torque_target_left,amk_control_left
1751195745.505450,0.000000,214.200000,4.800000,1795.000000
1751195745.515450,0.000000,214.200000,4.800000,1795.000000
1751195745.525500,0.000000,214.200000,4.800000,1795.000000
1751195745.535450,0.000000,214.200000,4.800000,1795.000000
1751195745.545450,0.000000,214.200000,4.800000,1795.000000
1751195745.555500,0.000000,214.200000,4.800000,1795.000000
1751195745.565500,0.000000,214.200000,3.400000,1795.000000
1751195745.575450,0.000000,214.200000,3.400000,1795.000000
1751195745.585450,0.000000,214.200000,3.400000,1795.000000
1751195745.595450,0.000000,214.200000,3.400000,1795.000000
1751195745.605450,0.000000,214.200000,3.400000,1795.000000
1751195745.615700,0.000000,214.200000,4.100000,1795.000000
1751195745.625450,0.000000,214.200000,4.100000,1795.000000
1751195745.635500,0.000000,214.200000,4.100000,1795.000000
1751195745.645700,0.000000,214.200000,4.100000,1795.000000
1751195745.655450,0.000000,214.200000,4.100000,1795.000000
1751195745.665450,0.000000,214.200000,4.800000,1795.000000
1751195745.675450,0.000000,214.200000,4.800000,1795.000000
1751195745.685500,0.000000,214.200000,4.800000,1795.000000
1751195745.695450,0.000000,214.200000,4.800000,1795.000000
1751195745.705450,0.000000,214.200000,4.800000,1795.000000
1751195745.715400,0.000000,214.200000,4.800000,1795.000000
1751195745.725450,0.000000,214.200000,4.800000,1795.000000
1751195745.735450,0.000000,214.200000,4.800000,1795.000000
1751195745.745400,0.000000,214.200000,4.800000,1795.000000
1751195745.755450,0.000000,214.200000,4.800000,1795.000000
1751195745.765450,0.000000,214.200000,4.800000,1795.000000
1751195745.775500,0.000000,214.200000,4.800000,1795.000000
1751195745.785450,0.000000,214.200000,4.800000,1795.000000
1751195745.795450,0.000000,214.200000,4.800000,1795.000000
1751195745.805450,0.000000,214.200000,4.800000,1795.000000
1751195745.815500,0.000000,214.200000,4.100000,1795.000000
1751195745.825450,0.000000,214.200000,4.100000,1795.000000
1751195745.835450,0.000000,214.200000,4.100000,1795.000000
1751195745.845500,0.000000,214.200000,4.100000,1795.000000
1751195745.855450,0.000000,214.200000,4.100000,1795.000000
1751195745.865500,0.000000,214.200000,4.100000,1795.000000
1751195745.875450,0.000000,214.200000,4.100000,1795.000000
1751195745.885500,0.000000,214.200000,4.100000,1795.000000
1751195745.895500,0.000000,214.200000,4.100000,1795.000000
1751195745.905450,0.000000,214.200000,4.100000,1795.000000
1751195745.915450,0.000000,214.200000,4.100000,1795.000000
1751195745.925500,0.000000,214.200000,4.100000,1795.000000
1751195745.935450,0.000000,214.200000,4.100000,1795.000000
1751195745.945450,0.000000,214.200000,4.100000,1795.000000
1751195745.955450,0.000000,214.200000,4.100000,1795.000000
1751195745.965450,0.000000,214.200000,4.800000,1795.000000
1751195745.975450,0.000000,214.200000,4.800000,1795.000000
1751195745.985450,0.000000,214.200000,4.800000,1795.000000
1751195745.995450,0.000000,214.200000,4.800000,1795.000000
1751195746.005450,0.000000,214.200000,4.800000,1795.000000
1751195746.015450,0.000000,214.200000,4.800000,1795.000000
1751195746.025750,0.000000,214.200000,4.800000,1795.000000
1751195746.035450,0.000000,214.200000,4.800000,1795.000000
1751195746.045450,0.000000,214.200000,4.800000,1795.000000
1751195746.055450,0.000000,214.200000,4.800000,1795.000000
1751195746.065450,0.000000,214.200000,4.800000,1795.000000
1751195746.075450,0.000000,214.200000,4.800000,1795.000000
1751195746.085500,0.000000,214.200000,4.800000,1795.000000
1751195746.095450,0.000000,214.200000,4.800000,1795.000000
1751195746.105450,0.000000,214.200000,4.800000,1795.000000
1751195746.115450,0.000000,214.200000,4.100000,1795.000000
1751195746.125500,0.000000,214.200000,4.100000,1795.000000
1751195746.135450,0.000000,214.200000,4.100000,1795.000000
1751195746.145450,0.000000,214.200000,4.100000,1795.000000
1751195746.155450,0.000000,214.200000,4.100000,1795.000000
1751195746.165450,0.000000,214.200000,4.100000,1795.000000
1751195746.175500,0.000000,214.200000,4.100000,1795.000000
1751195746.185400,0.000000,214.200000,4.100000,1795.000000
1751195746.195450,0.000000,214.200000,4.100000,1795.000000
1751195746.205450,0.000000,214.200000,4.100000,1795.000000
1751195746.215400,0.000000,214.200000,4.800000,1795.000000
1751195746.225450,0.000000,214.200000,4.800000,1795.000000
1751195746.235450,0.000000,214.200000,4.800000,1795.000000
1751195746.245450,0.000000,214.200000,4.800000,1795.000000
1751195746.255450,0.000000,214.200000,4.800000,1795.000000
1751195746.265700,0.000000,214.200000,4.800000,1795.000000
