t,ams_voltage_max_8,ams_voltage_max_7,ams_voltage_max_6,ams_voltage_max_5,ams_voltage_max_4,ams_voltage_max_3,ams_voltage_max_2,ams_voltage_max_1
1751196027.995300,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.006600,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.029150,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.047900,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.059150,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.070450,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.081750,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.100350,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.111650,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.122900,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.141650,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.152900,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.164200,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.175500,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.194100,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.205400,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.216650,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.246600,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.269150,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.280450,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.299150,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.310400,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.321700,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.340350,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.351600,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.362900,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.374200,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.392800,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.404100,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.415350,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.426650,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.445300,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.456550,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.479150,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.497850,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.509100,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
