t,sensor_imu_gps_status,sensor_imu_gps_longitude,sensor_imu_gps_latitude
1751195605.857100,0.000000,0.000000,0.000000
1751195605.907100,0.000000,0.000000,0.000000
1751195605.957100,0.000000,0.000000,0.000000
1751195606.007100,0.000000,0.000000,0.000000
1751195606.057100,0.000000,0.000000,0.000000
1751195606.107100,0.000000,0.000000,0.000000
1751195606.157100,0.000000,0.000000,0.000000
1751195606.207100,0.000000,0.000000,0.000000
1751195606.257300,0.000000,0.000000,0.000000
1751195606.307150,0.000000,0.000000,0.000000
1751195606.357100,0.000000,0.000000,0.000000
1751195606.407150,0.000000,0.000000,0.000000
1751195606.457100,0.000000,0.000000,0.000000
1751195606.507150,0.000000,0.000000,0.000000
1751195606.557150,0.000000,0.000000,0.000000
1751195606.607100,0.000000,0.000000,0.000000
1751195606.657150,0.000000,0.000000,0.000000
1751195606.757150,0.000000,0.000000,0.000000
1751195606.807150,0.000000,0.000000,0.000000
1751195606.857100,0.000000,0.000000,0.000000
1751195606.907150,0.000000,0.000000,0.000000
1751195606.957100,0.000000,0.000000,0.000000
1751195607.007150,0.000000,0.000000,0.000000
1751195607.057150,0.000000,0.000000,0.000000
1751195607.107150,0.000000,0.000000,0.000000
1751195607.207150,0.000000,0.000000,0.000000
1751195607.257150,0.000000,0.000000,0.000000
1751195607.307150,0.000000,0.000000,0.000000
1751195607.357150,0.000000,0.000000,0.000000
1751195607.407150,0.000000,0.000000,0.000000
1751195607.457150,0.000000,0.000000,0.000000
1751195607.507150,0.000000,0.000000,0.000000
1751195607.557150,0.000000,0.000000,0.000000
1751195607.657150,0.000000,0.000000,0.000000
1751195607.707150,0.000000,0.000000,0.000000
1751195607.757150,0.000000,0.000000,0.000000
1751195607.807150,0.000000,0.000000,0.000000
1751195607.857150,0.000000,0.000000,0.000000
1751195607.907150,0.000000,0.000000,0.000000
1751195607.957150,0.000000,0.000000,0.000000
1751195608.007150,0.000000,0.000000,0.000000
1751195608.057250,0.000000,0.000000,0.000000
1751195608.107150,0.000000,0.000000,0.000000
1751195608.157150,0.000000,0.000000,0.000000
1751195608.207150,0.000000,0.000000,0.000000
1751195608.257150,0.000000,0.000000,0.000000
1751195608.307150,0.000000,0.000000,0.000000
1751195608.357150,0.000000,0.000000,0.000000
1751195608.407150,0.000000,0.000000,0.000000
1751195608.457150,0.000000,0.000000,0.000000
1751195608.507250,0.000000,0.000000,0.000000
1751195608.557150,0.000000,0.000000,0.000000
1751195608.607200,0.000000,0.000000,0.000000
1751195608.657150,0.000000,0.000000,0.000000
1751195608.707200,0.000000,0.000000,0.000000
1751195608.757150,0.000000,0.000000,0.000000
1751195608.807150,0.000000,0.000000,0.000000
1751195608.857200,0.000000,0.000000,0.000000
1751195608.907150,0.000000,0.000000,0.000000
1751195608.957250,0.000000,0.000000,0.000000
1751195609.007150,0.000000,0.000000,0.000000
1751195609.057200,0.000000,0.000000,0.000000
1751195609.107200,0.000000,0.000000,0.000000
1751195609.157150,0.000000,0.000000,0.000000
1751195609.207200,0.000000,0.000000,0.000000
1751195609.257150,0.000000,0.000000,0.000000
1751195609.307200,0.000000,0.000000,0.000000
1751195609.357200,0.000000,0.000000,0.000000
1751195609.407250,0.000000,0.000000,0.000000
1751195609.457200,0.000000,0.000000,0.000000
1751195609.507150,0.000000,0.000000,0.000000
1751195609.557200,0.000000,0.000000,0.000000
1751195609.607200,0.000000,0.000000,0.000000
1751195609.657200,0.000000,0.000000,0.000000
1751195609.707200,0.000000,0.000000,0.000000
1751195609.757200,0.000000,0.000000,0.000000
1751195609.807200,0.000000,0.000000,0.000000
1751195609.857200,0.000000,0.000000,0.000000
1751195609.907200,0.000000,0.000000,0.000000
1751195609.957200,0.000000,0.000000,0.000000
1751195610.007200,0.000000,0.000000,0.000000
1751195610.057200,0.000000,0.000000,0.000000
1751195610.107200,0.000000,0.000000,0.000000
1751195610.157200,0.000000,0.000000,0.000000
1751195610.207200,0.000000,0.000000,0.000000
1751195610.257250,0.000000,0.000000,0.000000
1751195610.307200,0.000000,0.000000,0.000000
1751195610.357200,0.000000,0.000000,0.000000
1751195610.407200,0.000000,0.000000,0.000000
1751195610.457200,0.000000,0.000000,0.000000
1751195610.507200,0.000000,0.000000,0.000000
1751195610.557200,0.000000,0.000000,0.000000
1751195610.607200,0.000000,0.000000,0.000000
1751195610.657200,0.000000,0.000000,0.000000
1751195610.707200,0.000000,0.000000,0.000000
1751195610.757200,0.000000,0.000000,0.000000
1751195610.807200,0.000000,0.000000,0.000000
1751195610.857200,0.000000,0.000000,0.000000
1751195610.907200,0.000000,0.000000,0.000000
1751195610.957200,0.000000,0.000000,0.000000
1751195611.007200,0.000000,0.000000,0.000000
1751195611.057200,0.000000,0.000000,0.000000
1751195611.107200,0.000000,0.000000,0.000000
1751195611.157200,0.000000,0.000000,0.000000
1751195611.207200,0.000000,0.000000,0.000000
1751195611.257200,0.000000,0.000000,0.000000
1751195611.307200,0.000000,0.000000,0.000000
1751195611.357200,0.000000,0.000000,0.000000
1751195611.407250,0.000000,0.000000,0.000000
1751195611.457200,0.000000,0.000000,0.000000
1751195611.507250,0.000000,0.000000,0.000000
1751195611.557200,0.000000,0.000000,0.000000
1751195611.607200,0.000000,0.000000,0.000000
1751195611.657250,0.000000,0.000000,0.000000
1751195611.707200,0.000000,0.000000,0.000000
1751195611.757250,0.000000,0.000000,0.000000
