t,PDU_5V_current,PDU_12V_current,PDU_CH9_current,PDU_CH12_current,PDU_CH11_current,PDU_CH10_current
1751195598.403150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195598.453150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195598.503100,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195598.553100,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195598.603100,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195598.653150,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195598.703150,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195598.803150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195598.853100,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195598.903100,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195598.953150,0.000000,0.000000,0.000000,0.000000,1.160000,0.120000
1751195599.003150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195599.053150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195599.103150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195599.153150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195599.253100,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195599.303150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195599.353150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195599.403150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195599.453150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195599.503150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195599.553200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195599.603200,0.000000,0.000000,0.000000,0.000000,1.160000,0.120000
1751195599.703150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195599.753150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195599.803150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195599.853150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195599.903150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195599.953200,0.000000,0.000000,0.000000,0.000000,1.160000,0.120000
1751195600.003150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195600.053150,0.000000,0.000000,0.000000,0.000000,1.160000,0.120000
1751195600.153150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195600.203150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195600.253150,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195600.303150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195600.353200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195600.403150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195600.453150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
