t,ams_temp_min_8,ams_temp_min_7,ams_temp_min_6,ams_temp_min_5,ams_temp_min_4,ams_temp_min_3,ams_temp_min_2,ams_temp_min_1
1751196016.732100,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196016.784650,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196016.837200,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196016.878400,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196016.930900,33.000000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000,32.000000
1751196016.983350,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.035900,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.077150,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.129500,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.182000,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.234550,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.287100,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.328300,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.380750,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.433350,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.485950,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.527200,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.579600,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.632050,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.684600,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.737150,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.778350,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.830850,33.000000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000,32.000000
1751196017.883300,33.000000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000,32.000000
1751196017.935850,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196017.977100,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.029500,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.081950,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.134500,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.187100,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.228250,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.280750,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.333300,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.385850,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.427150,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.479500,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.532000,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
