t,ams_voltage_min_9
1751195529.216750,2.880000
1751195529.235400,2.870000
1751195529.246650,2.860000
1751195529.257950,2.870000
1751195529.269200,2.860000
1751195529.287850,2.880000
1751195529.299150,2.860000
1751195529.310400,2.870000
1751195529.321700,2.880000
1751195529.340400,2.870000
1751195529.351700,2.870000
1751195529.363000,2.880000
1751195529.374250,2.870000
1751195529.392900,2.860000
1751195529.404150,2.880000
1751195529.415450,2.890000
1751195529.434150,2.870000
1751195529.445450,2.860000
1751195529.456750,2.860000
1751195529.468000,2.870000
1751195529.486650,2.860000
1751195529.497900,2.860000
1751195529.509200,2.860000
1751195529.520500,2.860000
1751195529.539100,2.840000
1751195529.550400,2.860000
1751195529.561700,2.830000
1751195529.572950,2.870000
1751195529.591700,2.880000
1751195529.603000,2.870000
1751195529.614250,2.870000
1751195529.632850,2.860000
1751195529.644150,2.870000
1751195529.655450,2.870000
1751195529.666700,2.880000
1751195529.685350,2.860000
1751195529.696600,2.860000
1751195529.707900,2.860000
1751195529.719200,2.850000
1751195529.737800,2.880000
1751195529.749100,2.850000
1751195529.760400,2.870000
1751195529.771650,2.850000
1751195529.790350,2.860000
1751195529.801650,2.850000
1751195529.812950,2.850000
1751195529.824200,2.860000
1751195529.842850,2.860000
1751195529.854150,2.860000
1751195529.865400,2.880000
1751195529.884150,2.840000
1751195529.895400,2.870000
1751195529.906700,2.880000
1751195529.917950,2.850000
1751195529.936600,2.860000
1751195529.947900,2.870000
1751195529.959150,2.870000
1751195529.970450,2.870000
1751195529.989050,2.860000
1751195530.000400,2.870000
1751195530.011650,2.860000
1751195530.022950,2.860000
1751195530.041650,2.860000
1751195530.052950,2.870000
1751195530.064250,2.870000
1751195530.082900,2.860000
1751195530.094150,2.850000
1751195530.105400,2.850000
1751195530.116700,2.860000
1751195530.135350,2.880000
1751195530.146600,2.870000
1751195530.157900,2.860000
1751195530.169150,2.870000
1751195530.187800,2.880000
1751195530.199100,2.860000
1751195530.210350,2.860000
1751195530.221650,2.860000
1751195530.240400,2.870000
1751195530.251650,2.870000
1751195530.262950,2.850000
1751195530.274200,2.860000
1751195530.292850,2.870000
1751195530.304150,2.870000
1751195530.315400,2.860000
1751195530.334150,2.870000
1751195530.345400,2.860000
1751195530.356700,2.870000
1751195530.368000,2.870000
1751195530.386650,2.880000
1751195530.397900,2.870000
1751195530.409200,2.870000
1751195530.420450,2.860000
1751195530.439100,2.870000
1751195530.450400,2.870000
1751195530.461650,2.880000
1751195530.472950,2.870000
1751195530.491650,2.880000
1751195530.502950,2.860000
1751195530.514200,2.870000
1751195530.532850,2.860000
1751195530.544150,2.870000
1751195530.555450,2.860000
1751195530.566700,2.870000
1751195530.585350,2.870000
1751195530.596650,2.890000
1751195530.607900,2.860000
1751195530.619200,2.850000
1751195530.637800,2.860000
1751195530.649100,2.840000
1751195530.660350,2.860000
1751195530.671650,2.870000
1751195530.690350,2.860000
1751195530.701650,2.870000
1751195530.712900,2.880000
1751195530.724200,2.860000
1751195530.742850,2.870000
1751195530.754100,2.870000
1751195530.765400,2.840000
1751195530.784100,2.850000
1751195530.795400,2.860000
1751195530.806650,2.860000
1751195530.817950,2.870000
1751195530.836600,2.870000
1751195530.847850,2.860000
1751195530.859150,2.870000
1751195530.870400,2.870000
1751195530.889150,2.870000
1751195530.900400,2.880000
1751195530.911700,2.880000
1751195530.922950,2.860000
1751195530.941700,2.850000
1751195530.953000,2.880000
1751195530.964300,2.870000
1751195530.982950,2.870000
1751195530.994200,2.880000
1751195531.005450,2.870000
1751195531.016750,2.880000
1751195531.035400,2.870000
1751195531.046650,2.880000
1751195531.057950,2.860000
1751195531.069200,2.860000
1751195531.087850,2.860000
1751195531.099150,2.880000
1751195531.110400,2.860000
1751195531.121700,2.850000
1751195531.140450,2.870000
1751195531.151700,2.870000
1751195531.163000,2.870000
1751195531.174300,2.860000
