t,ModelConfig_MissionSelect,ModelConfig_TVMaster,ModelConfig_TractionControl,ModelConfig_ThrottleShaping,ModelConfig_MotorMapping,ModelConfig_MidCornerSetting,ModelConfig_CornerExitSetting,ModelConfig_CornerEntrySetting
1751195740.400750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195740.450750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195740.500750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195740.550750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195740.600750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195740.650750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195740.700750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195740.750750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195740.800750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195740.850750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195740.900750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195740.950750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.000750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.050750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.100750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.150750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.200750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.250750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.300750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.350750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.400750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.450750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.500750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.550750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.600750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.650750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.700750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.750750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.800750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.850750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.900750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195741.950750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.000750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.050750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.100750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.150750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.200750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.250750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.300750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.350750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.400750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.450750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.500750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.550700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.600750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.650750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.700750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.750750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
