t,ams_shunt_voltage,ams_shunt_current,ams_shunt_amp_seconds
1751195530.923500,579.290000,0.000000,12800.000000
1751195530.964850,579.320000,0.010000,12800.000000
1751195531.017300,579.320000,0.010000,12800.000000
1751195531.069750,579.320000,0.010000,12800.000000
1751195531.122250,579.310000,0.000000,12800.000000
1751195531.174800,579.320000,0.000000,12800.000000
1751195531.216050,579.300000,0.000000,12800.000000
1751195531.268600,579.340000,0.010000,12800.000000
1751195531.320950,579.290000,0.000000,12800.000000
1751195531.373500,579.290000,0.010000,12800.000000
1751195531.414850,579.290000,0.000000,12800.000000
1751195531.467300,579.290000,0.010000,12800.000000
1751195531.519750,579.310000,0.010000,12800.000000
1751195531.572200,579.320000,0.010000,12800.000000
1751195531.624800,579.300000,0.000000,12800.000000
1751195531.666000,579.300000,0.010000,12800.000000
1751195531.718550,579.320000,0.010000,12800.000000
1751195531.770950,579.350000,0.010000,12800.000000
1751195531.823500,579.310000,0.000000,12800.000000
1751195531.864800,579.300000,0.010000,12800.000000
1751195531.917250,579.320000,0.010000,12800.000000
1751195531.969750,579.320000,0.000000,12800.000000
1751195532.022200,579.310000,0.000000,12800.000000
1751195532.074800,579.350000,0.000000,12800.000000
1751195532.116000,579.300000,0.000000,12800.000000
1751195532.168550,579.330000,0.010000,12800.000000
1751195532.220950,579.280000,0.000000,12800.000000
1751195532.273550,579.260000,0.010000,12800.000000
1751195532.314800,579.260000,0.010000,12800.000000
1751195532.367250,579.310000,0.010000,12800.000000
1751195532.419750,579.320000,0.000000,12800.000000
1751195532.472250,579.350000,0.040000,12800.000000
1751195532.524800,579.270000,0.100000,12800.000000
1751195532.565950,579.270000,0.130000,12800.000000
1751195532.618550,579.280000,0.130000,12800.000000
1751195532.670950,579.270000,0.110000,12800.000000
1751195532.723500,579.260000,0.100000,12800.000000
1751195532.764750,579.230000,0.100000,12800.000000
1751195532.817250,579.210000,0.120000,12800.000000
1751195532.869700,579.210000,0.120000,12800.000000
1751195532.922200,579.240000,0.100000,12800.000000
1751195532.974800,579.280000,0.100000,12800.000000
1751195533.016000,579.280000,0.120000,12800.000000
1751195533.068550,579.240000,0.130000,12800.000000
1751195533.120900,579.250000,0.130000,12800.000000
1751195533.173500,579.230000,0.120000,12800.000000
1751195533.214800,579.230000,0.110000,12800.000000
1751195533.267250,579.250000,0.100000,12800.000000
1751195533.319700,579.240000,0.100000,12800.000000
1751195533.372200,579.250000,0.130000,12800.000000
1751195533.424750,579.230000,0.130000,12800.000000
1751195533.465950,579.230000,0.120000,12800.000000
1751195533.518500,579.260000,0.100000,12800.000000
1751195533.570900,579.270000,0.100000,12800.000000
1751195533.623450,579.220000,0.100000,12800.000000
1751195533.664750,579.280000,0.120000,12800.000000
1751195533.717200,579.250000,0.130000,12800.000000
1751195533.769700,579.210000,0.120000,12800.000000
1751195533.822150,579.210000,0.100000,12800.000000
1751195533.874750,579.280000,0.110000,12800.000000
1751195533.915900,579.290000,0.130000,12800.000000
1751195533.968500,579.290000,0.130000,12800.000000
1751195534.020850,579.250000,0.130000,12800.000000
1751195534.073450,579.230000,0.100000,12800.000000
1751195534.114700,579.230000,0.100000,12800.000000
1751195534.167200,579.270000,0.110000,12800.000000
1751195534.219650,579.260000,0.120000,12800.000000
1751195534.272150,579.270000,0.130000,12800.000000
1751195534.324700,579.260000,0.120000,12800.000000
1751195534.365900,579.260000,0.120000,12800.000000
1751195534.418450,579.280000,0.090000,12800.000000
1751195534.470850,579.240000,0.100000,12800.000000
1751195534.523400,579.290000,0.120000,12800.000000
1751195534.564750,579.240000,0.120000,12800.000000
1751195534.617200,579.250000,0.110000,12800.000000
1751195534.669650,579.220000,0.100000,12800.000000
1751195534.722100,579.220000,0.100000,12800.000000
1751195534.774700,579.250000,0.120000,12800.000000
1751195534.815900,579.230000,0.120000,12800.000000
1751195534.868450,579.230000,0.120000,12800.000000
1751195534.920850,579.240000,0.120000,12800.000000
1751195534.973400,579.220000,0.160000,12800.000000
1751195535.014700,579.220000,0.260000,12800.000000
1751195535.067200,579.180000,0.280000,12800.000000
1751195535.119650,579.120000,0.280000,12800.000000
1751195535.172150,579.210000,0.290000,12800.000000
1751195535.224750,579.180000,0.270000,12800.000000
1751195535.265950,579.180000,0.290000,12800.000000
1751195535.318500,579.180000,0.390000,12800.000000
1751195535.370950,579.160000,0.550000,12800.000000
1751195535.423550,579.030000,0.630000,12800.000000
1751195535.464850,578.990000,0.660000,12800.000000
1751195535.517300,578.990000,0.660000,12800.000000
1751195535.569800,579.000000,0.690000,12800.000000
1751195535.622250,579.000000,0.710000,12800.000000
1751195535.674850,579.020000,0.740000,12800.000000
1751195535.716050,578.950000,0.750000,12800.000000
1751195535.768500,578.980000,0.790000,12800.000000
1751195535.821000,578.950000,0.800000,12800.000000
1751195535.873550,578.930000,0.830000,12800.000000
1751195535.914850,578.930000,0.860000,12800.000000
1751195535.967300,578.880000,0.910000,12800.000000
1751195536.019800,578.910000,0.920000,12800.000000
1751195536.072300,578.880000,0.960000,12800.000000
1751195536.124850,578.850000,0.980000,12800.000000
1751195536.166050,578.820000,1.000000,12800.000000
1751195536.218500,578.820000,1.040000,12800.000000
1751195536.271000,578.790000,1.070000,12800.000000
1751195536.323600,578.830000,1.110000,12800.000000
1751195536.364900,578.770000,1.110000,12800.000000
1751195536.417400,578.770000,1.130000,12800.000000
1751195536.469900,578.760000,1.160000,12800.000000
1751195536.522350,578.700000,1.300000,12800.000000
1751195536.574950,578.700000,1.320000,12800.000000
1751195536.616150,578.650000,1.330000,12800.000000
1751195536.668650,578.680000,1.370000,12800.000000
1751195536.721050,578.690000,1.410000,12800.000000
1751195536.773650,578.630000,1.440000,12800.000000
1751195536.814950,578.630000,1.520000,12800.000000
1751195536.867450,578.570000,1.610000,12800.000000
1751195536.919950,578.500000,1.670000,12800.000000
1751195536.972250,578.490000,1.720000,12800.000000
1751195537.024850,578.490000,1.760000,12800.000000
1751195537.066050,578.460000,1.820000,12800.000000
1751195537.118450,578.460000,1.870000,12800.000000
1751195537.171000,578.450000,1.910000,12800.000000
1751195537.223600,578.400000,1.940000,12800.000000
1751195537.264900,578.370000,1.980000,12800.000000
1751195537.317400,578.310000,2.010000,12800.000000
1751195537.369850,578.250000,2.060000,12800.000000
1751195537.422350,578.270000,2.200000,12800.000000
1751195537.474750,578.270000,2.320000,12800.000000
1751195537.515950,578.180000,2.390000,12800.000000
1751195537.568400,578.160000,2.440000,12800.000000
1751195537.620950,578.120000,2.500000,12800.000000
1751195537.673500,578.070000,2.570000,12800.000000
1751195537.714800,578.070000,2.620000,12800.000000
1751195537.767300,578.100000,2.640000,12800.000000
1751195537.819800,578.060000,2.680000,12800.000000
1751195537.872250,577.990000,2.740000,12800.000000
1751195537.924850,577.940000,2.800000,12800.000000
1751195537.966050,577.930000,2.850000,12800.000000
1751195538.018500,577.860000,2.930000,12800.000000
1751195538.071000,577.860000,2.950000,12800.000000
1751195538.123650,577.830000,3.010000,12800.000000
1751195538.164900,577.800000,3.080000,12800.000000
1751195538.217400,577.770000,3.170000,12800.000000
1751195538.269850,577.700000,3.310000,12800.000000
1751195538.322350,577.630000,3.410000,12800.000000
1751195538.374750,577.630000,3.450000,12800.000000
1751195538.415950,577.610000,3.540000,12800.000000
1751195538.468400,577.610000,3.590000,12800.000000
1751195538.520800,577.510000,3.660000,12800.000000
1751195538.573350,577.420000,3.730000,12800.000000
1751195538.614650,577.420000,3.720000,12800.000000
1751195538.667100,577.420000,3.810000,12800.000000
1751195538.719650,577.380000,4.000000,12800.000000
1751195538.772100,577.340000,4.090000,12800.000000
1751195538.824700,577.260000,4.140000,12800.000000
1751195538.865900,577.260000,4.200000,12800.000000
1751195538.918350,577.160000,4.250000,12800.000000
1751195538.970750,577.160000,4.260000,12800.000000
1751195539.023300,577.160000,4.350000,12800.000000
1751195539.064650,577.140000,4.310000,12800.000000
1751195539.117150,577.130000,4.400000,12800.000000
1751195539.169600,577.040000,4.380000,12800.000000
1751195539.222100,577.030000,4.470000,12800.000000
1751195539.274700,577.030000,4.550000,12800.000000
1751195539.315900,576.990000,4.600000,12800.000000
1751195539.368300,576.970000,4.630000,12800.000000
1751195539.420700,576.960000,4.730000,12800.000000
1751195539.473300,576.900000,4.790000,12800.000000
1751195539.514600,576.820000,4.850000,12800.000000
1751195539.567000,576.820000,4.890000,12800.000000
1751195539.619500,576.790000,5.070000,12800.000000
1751195539.672000,576.690000,5.140000,12800.000000
1751195539.724600,576.650000,5.250000,12800.000000
1751195539.765800,576.620000,5.220000,12800.000000
1751195539.818350,576.570000,5.300000,12800.000000
1751195539.870750,576.570000,5.400000,12800.000000
1751195539.923300,576.500000,5.460000,12800.000000
1751195539.964550,576.460000,5.500000,12800.000000
1751195540.017050,576.400000,5.590000,12800.000000
1751195540.069550,576.410000,5.580000,12800.000000
1751195540.122000,576.360000,5.710000,12800.000000
1751195540.174600,576.310000,5.790000,12800.000000
1751195540.215800,576.310000,5.870000,12800.000000
1751195540.268350,576.220000,5.970000,12800.000000
1751195540.320750,576.190000,5.990000,12800.000000
1751195540.373300,576.100000,6.100000,12800.000000
1751195540.414650,576.140000,6.170000,12800.000000
1751195540.467100,576.140000,6.290000,12800.000000
1751195540.519550,576.060000,6.360000,12800.000000
1751195540.572000,576.000000,6.430000,12800.000000
1751195540.624600,575.930000,6.480000,12800.000000
1751195540.665800,575.880000,6.550000,12800.000000
1751195540.718400,575.880000,6.630000,12800.000000
1751195540.770900,575.880000,6.730000,12800.000000
1751195540.823500,575.780000,6.800000,12800.000000
1751195540.864800,575.700000,6.810000,12800.000000
1751195540.917250,575.710000,6.900000,12800.000000
1751195540.969750,575.620000,7.010000,12800.000000
1751195541.022200,575.580000,7.100000,12800.000000
1751195541.074750,575.560000,7.160000,12800.000000
1751195541.115950,575.560000,7.270000,12800.000000
1751195541.168400,575.540000,7.270000,12800.000000
1751195541.220900,575.480000,7.360000,12800.000000
1751195541.273450,575.410000,7.350000,12800.000000
1751195541.314750,575.380000,7.510000,12800.000000
1751195541.367200,575.380000,7.570000,12800.000000
1751195541.419700,575.300000,7.640000,12800.000000
1751195541.472200,575.240000,7.640000,12800.000000
1751195541.524750,575.240000,7.720000,12800.000000
1751195541.566000,575.170000,7.770000,12800.000000
1751195541.618450,575.140000,7.900000,12800.000000
1751195541.670950,575.080000,7.980000,12800.000000
1751195541.723500,575.080000,8.000000,12800.000000
1751195541.764800,575.060000,8.020000,12800.000000
1751195541.817250,575.050000,8.100000,12800.000000
1751195541.869750,574.900000,8.210000,12800.000000
1751195541.922200,574.850000,8.330000,12800.000000
1751195541.974800,574.780000,8.420000,12800.000000
1751195542.016000,574.780000,8.400000,12800.000000
1751195542.068450,574.750000,8.550000,12800.000000
1751195542.120950,574.740000,8.540000,12800.000000
1751195542.173550,574.690000,8.850000,12800.000000
1751195542.214850,574.440000,9.210000,12800.000000
1751195542.267350,574.440000,9.390000,12800.000000
1751195542.319800,574.370000,9.400000,12800.000000
1751195542.372100,574.230000,9.470000,12800.000000
1751195542.424700,574.220000,9.640000,12800.000000
1751195542.465900,574.090000,9.800000,12800.000000
1751195542.518400,574.040000,9.900000,12800.000000
1751195542.570900,573.890000,10.170000,12800.000000
1751195542.623450,573.890000,10.310000,12800.000000
1751195542.664800,573.790000,10.450000,12800.000000
1751195542.717250,573.680000,10.820000,12800.000000
1751195542.769800,573.490000,11.030000,12800.000000
1751195542.822250,573.450000,11.140000,12800.000000
1751195542.874850,573.360000,11.170000,12800.000000
1751195542.916050,573.360000,11.470000,12800.000000
1751195542.968500,573.210000,11.570000,12800.000000
1751195543.020850,573.160000,11.740000,12800.000000
1751195543.073450,572.950000,12.320000,12800.000000
1751195543.114750,572.760000,12.430000,12800.000000
1751195543.167200,572.710000,12.590000,12800.000000
1751195543.219650,572.710000,12.780000,12800.000000
1751195543.272150,572.540000,12.900000,12800.000000
1751195543.324750,572.460000,13.100000,12800.000000
1751195543.365950,572.370000,13.230000,12800.000000
1751195543.418400,572.190000,13.350000,12800.000000
1751195543.470900,572.180000,13.420000,12800.000000
1751195543.523450,572.180000,13.530000,12800.000000
1751195543.564750,572.130000,13.890000,12800.000000
1751195543.617250,571.890000,14.030000,12800.000000
1751195543.669750,571.860000,14.150000,12800.000000
1751195543.722250,571.650000,14.580000,12800.000000
1751195543.774800,571.450000,14.880000,12800.000000
1751195543.816000,571.450000,15.110000,12800.000000
1751195543.868500,571.320000,15.420000,12800.000000
1751195543.920900,571.050000,15.630000,12800.000000
1751195543.973300,570.900000,16.190000,12800.000000
1751195544.014600,570.710000,16.280000,12800.000000
1751195544.067100,570.530000,16.450000,12800.000000
1751195544.119550,570.530000,17.160000,12800.000000
1751195544.172100,570.300000,17.310000,12800.000000
1751195544.224700,570.140000,17.600000,12800.000000
1751195544.265900,570.010000,17.580000,12800.000000
1751195544.318400,569.950000,17.850000,12800.000000
1751195544.370900,569.800000,17.930000,12800.000000
1751195544.423500,569.590000,18.720000,12800.000000
1751195544.464800,569.590000,19.730000,12800.000000
1751195544.517250,569.060000,19.480000,12800.000000
1751195544.569800,568.970000,19.800000,12800.000000
1751195544.622050,568.900000,19.960000,12800.000000
1751195544.674650,568.590000,20.650000,12800.000000
1751195544.715850,568.590000,20.250000,12800.000000
1751195544.768350,568.470000,21.360000,12800.000000
1751195544.820850,568.230000,20.950000,12800.000000
1751195544.873450,568.180000,21.170000,12800.000000
1751195544.914850,568.030000,21.260000,12800.000000
1751195544.967500,567.950000,21.740000,12800.000000
1751195545.020050,567.950000,21.940000,12800.000000
1751195545.072600,567.610000,22.890000,12800.000000
1751195545.125300,567.270000,23.040000,12800.000000
1751195545.166600,567.140000,23.250000,12800.000000
1751195545.219200,566.770000,24.920000,12800.000000
1751195545.271850,566.210000,24.780000,12800.000000
1751195545.324550,566.260000,24.820000,12800.000000
1751195545.365900,566.260000,26.480000,12800.000000
1751195545.418450,565.460000,28.290000,12800.000000
1751195545.470950,564.870000,27.000000,12800.000000
1751195545.523450,565.010000,27.760000,12800.000000
