t,Vehicle_State,shutdown_reason
1751195959.469650,4.000000,0.000000
1751195959.479700,4.000000,0.000000
1751195959.489650,4.000000,0.000000
1751195959.499650,4.000000,0.000000
1751195959.509800,4.000000,0.000000
1751195959.519650,4.000000,0.000000
1751195959.529650,4.000000,0.000000
1751195959.539650,4.000000,0.000000
1751195959.549600,4.000000,0.000000
1751195959.559650,4.000000,0.000000
1751195959.569600,4.000000,0.000000
1751195959.579650,4.000000,0.000000
1751195959.589650,4.000000,0.000000
1751195959.599650,4.000000,0.000000
1751195959.609800,4.000000,0.000000
1751195959.619650,4.000000,0.000000
1751195959.629900,4.000000,0.000000
1751195959.639600,4.000000,0.000000
1751195959.649650,4.000000,0.000000
1751195959.660050,4.000000,0.000000
1751195959.669600,4.000000,0.000000
1751195959.679650,4.000000,0.000000
1751195959.689650,4.000000,0.000000
1751195959.699700,4.000000,0.000000
1751195959.709850,4.000000,0.000000
1751195959.719650,4.000000,0.000000
1751195959.729700,4.000000,0.000000
1751195959.739650,4.000000,0.000000
1751195959.749650,4.000000,0.000000
1751195959.759800,4.000000,0.000000
1751195959.769650,4.000000,0.000000
1751195959.779650,4.000000,0.000000
1751195959.789600,4.000000,0.000000
1751195959.799700,4.000000,0.000000
1751195959.809850,4.000000,0.000000
1751195959.819650,4.000000,0.000000
1751195959.829700,4.000000,0.000000
1751195959.839600,4.000000,0.000000
1751195959.849650,4.000000,0.000000
1751195959.859800,4.000000,0.000000
1751195959.869900,4.000000,0.000000
1751195959.879650,4.000000,0.000000
1751195959.889650,4.000000,0.000000
1751195959.899900,4.000000,0.000000
1751195959.909850,4.000000,0.000000
1751195959.919650,4.000000,0.000000
1751195959.929650,4.000000,0.000000
1751195959.939600,4.000000,0.000000
1751195959.949700,4.000000,0.000000
1751195959.959800,4.000000,0.000000
1751195959.969650,4.000000,0.000000
1751195959.979700,4.000000,0.000000
1751195959.989600,4.000000,0.000000
1751195959.999650,4.000000,0.000000
1751195960.009600,4.000000,0.000000
1751195960.019600,4.000000,0.000000
1751195960.029650,4.000000,0.000000
1751195960.039650,4.000000,0.000000
1751195960.049650,4.000000,0.000000
1751195960.059800,4.000000,0.000000
1751195960.069900,4.000000,0.000000
1751195960.079650,4.000000,0.000000
1751195960.089650,4.000000,0.000000
1751195960.099900,4.000000,0.000000
1751195960.109800,4.000000,0.000000
1751195960.119650,4.000000,0.000000
1751195960.129650,4.000000,0.000000
1751195960.139650,4.000000,0.000000
1751195960.149650,4.000000,0.000000
1751195960.159650,4.000000,0.000000
1751195960.169600,4.000000,0.000000
1751195960.179650,4.000000,0.000000
1751195960.189600,4.000000,0.000000
1751195960.199600,4.000000,0.000000
1751195960.209850,4.000000,0.000000
1751195960.219650,4.000000,0.000000
1751195960.229600,4.000000,0.000000
1751195960.239600,4.000000,0.000000
1751195960.249650,4.000000,0.000000
1751195960.259800,4.000000,0.000000
1751195960.269900,4.000000,0.000000
1751195960.279600,4.000000,0.000000
1751195960.289650,4.000000,0.000000
1751195960.299850,4.000000,0.000000
1751195960.309850,4.000000,0.000000
