t,sensor_spring_travel_rr,sensor_spring_travel_rl,sensor_brake_temp_rr,sensor_brake_temp_rl
1751195779.460150,0.000000,0.000000,0.000000,0.000000
1751195779.510050,0.000000,0.000000,0.000000,0.000000
1751195779.560050,0.000000,0.000000,0.000000,0.000000
1751195779.610050,0.000000,0.000000,0.000000,0.000000
1751195779.660100,0.000000,0.000000,0.000000,0.000000
1751195779.710100,0.000000,0.000000,0.000000,0.000000
1751195779.760150,0.000000,0.000000,0.000000,0.000000
1751195779.810050,0.000000,0.000000,0.000000,0.000000
1751195779.860150,0.000000,0.000000,0.000000,0.000000
1751195779.910050,0.000000,0.000000,0.000000,0.000000
1751195779.960050,0.000000,0.000000,0.000000,0.000000
1751195780.010050,0.000000,0.000000,0.000000,0.000000
1751195780.060050,0.000000,0.000000,0.000000,0.000000
1751195780.110050,0.000000,0.000000,0.000000,0.000000
1751195780.160050,0.000000,0.000000,0.000000,0.000000
1751195780.210050,0.000000,0.000000,0.000000,0.000000
1751195780.260100,0.000000,0.000000,0.000000,0.000000
1751195780.310200,0.000000,0.000000,0.000000,0.000000
1751195780.360100,0.000000,0.000000,0.000000,0.000000
1751195780.410150,0.000000,0.000000,0.000000,0.000000
1751195780.460200,0.000000,0.000000,0.000000,0.000000
1751195780.510050,0.000000,0.000000,0.000000,0.000000
1751195780.560050,0.000000,0.000000,0.000000,0.000000
1751195780.610100,0.000000,0.000000,0.000000,0.000000
1751195780.660150,0.000000,0.000000,0.000000,0.000000
1751195780.760150,0.000000,0.000000,0.000000,0.000000
1751195780.810200,0.000000,0.000000,0.000000,0.000000
1751195780.860250,0.000000,0.000000,0.000000,0.000000
1751195780.910050,0.000000,0.000000,0.000000,0.000000
1751195780.960100,0.000000,0.000000,0.000000,0.000000
1751195781.010150,0.000000,0.000000,0.000000,0.000000
1751195781.060100,0.000000,0.000000,0.000000,0.000000
1751195781.110100,0.000000,0.000000,0.000000,0.000000
1751195781.160050,0.000000,0.000000,0.000000,0.000000
1751195781.210200,0.000000,0.000000,0.000000,0.000000
1751195781.260200,0.000000,0.000000,0.000000,0.000000
1751195781.310200,0.000000,0.000000,0.000000,0.000000
1751195781.360100,0.000000,0.000000,0.000000,0.000000
1751195781.410050,0.000000,0.000000,0.000000,0.000000
1751195781.510050,0.000000,0.000000,0.000000,0.000000
1751195781.560050,0.000000,0.000000,0.000000,0.000000
1751195781.610100,0.000000,0.000000,0.000000,0.000000
1751195781.660150,0.000000,0.000000,0.000000,0.000000
1751195781.710200,0.000000,0.000000,0.000000,0.000000
1751195781.760200,0.000000,0.000000,0.000000,0.000000
1751195781.810200,0.000000,0.000000,0.000000,0.000000
1751195781.860100,0.000000,0.000000,0.000000,0.000000
1751195781.910050,0.000000,0.000000,0.000000,0.000000
1751195781.960150,0.000000,0.000000,0.000000,0.000000
1751195782.010150,0.000000,0.000000,0.000000,0.000000
1751195782.060200,0.000000,0.000000,0.000000,0.000000
1751195782.210100,0.000000,0.000000,0.000000,0.000000
1751195782.260150,0.000000,0.000000,0.000000,0.000000
1751195782.310100,0.000000,0.000000,0.000000,0.000000
1751195782.360100,0.000000,0.000000,0.000000,0.000000
1751195782.410150,0.000000,0.000000,0.000000,0.000000
1751195782.510200,0.000000,0.000000,0.000000,0.000000
1751195782.610150,0.000000,0.000000,0.000000,0.000000
1751195782.710100,0.000000,0.000000,0.000000,0.000000
1751195782.760100,0.000000,0.000000,0.000000,0.000000
1751195782.860100,0.000000,0.000000,0.000000,0.000000
1751195782.910200,0.000000,0.000000,0.000000,0.000000
1751195782.960100,0.000000,0.000000,0.000000,0.000000
1751195783.010100,0.000000,0.000000,0.000000,0.000000
1751195783.060150,0.000000,0.000000,0.000000,0.000000
1751195783.210150,0.000000,0.000000,0.000000,0.000000
1751195783.260150,0.000000,0.000000,0.000000,0.000000
1751195783.310100,0.000000,0.000000,0.000000,0.000000
1751195783.360100,0.000000,0.000000,0.000000,0.000000
1751195783.410150,0.000000,0.000000,0.000000,0.000000
1751195783.460150,0.000000,0.000000,0.000000,0.000000
1751195783.510100,0.000000,0.000000,0.000000,0.000000
1751195783.560150,0.000000,0.000000,0.000000,0.000000
1751195783.610150,0.000000,0.000000,0.000000,0.000000
1751195783.660100,0.000000,0.000000,0.000000,0.000000
1751195783.710150,0.000000,0.000000,0.000000,0.000000
1751195783.910100,0.000000,0.000000,0.000000,0.000000
1751195783.960100,0.000000,0.000000,0.000000,0.000000
1751195784.060100,0.000000,0.000000,0.000000,0.000000
1751195784.210100,0.000000,0.000000,0.000000,0.000000
1751195784.310100,0.000000,0.000000,0.000000,0.000000
1751195784.360100,0.000000,0.000000,0.000000,0.000000
1751195784.410150,0.000000,0.000000,0.000000,0.000000
1751195784.510150,0.000000,0.000000,0.000000,0.000000
1751195784.560150,0.000000,0.000000,0.000000,0.000000
1751195784.710100,0.000000,0.000000,0.000000,0.000000
1751195784.760150,0.000000,0.000000,0.000000,0.000000
1751195784.810100,0.000000,0.000000,0.000000,0.000000
1751195784.910150,0.000000,0.000000,0.000000,0.000000
1751195785.010150,0.000000,0.000000,0.000000,0.000000
1751195785.060100,0.000000,0.000000,0.000000,0.000000
1751195785.110150,0.000000,0.000000,0.000000,0.000000
1751195791.010450,0.000000,0.000000,0.000000,0.000000
1751195791.060450,0.000000,0.000000,0.000000,0.000000
1751195791.210450,0.000000,0.000000,0.000000,0.000000
1751195791.410450,0.000000,0.000000,0.000000,0.000000
1751195791.460450,0.000000,0.000000,0.000000,0.000000
1751195791.510450,0.000000,0.000000,0.000000,0.000000
1751195791.560450,0.000000,0.000000,0.000000,0.000000
1751195791.860450,0.000000,0.000000,0.000000,0.000000
1751195792.010450,0.000000,0.000000,0.000000,0.000000
1751195792.110450,0.000000,0.000000,0.000000,0.000000
1751195792.210400,0.000000,0.000000,0.000000,0.000000
1751195792.310400,0.000000,0.000000,0.000000,0.000000
1751195792.460400,0.000000,0.000000,0.000000,0.000000
1751195792.610400,0.000000,0.000000,0.000000,0.000000
1751195792.760400,0.000000,0.000000,0.000000,0.000000
1751195792.810400,0.000000,0.000000,0.000000,0.000000
1751195793.210400,0.000000,0.000000,0.000000,0.000000
1751195793.410400,0.000000,0.000000,0.000000,0.000000
1751195793.460400,0.000000,0.000000,0.000000,0.000000
1751195793.610400,0.000000,0.000000,0.000000,0.000000
1751195793.660450,0.000000,0.000000,0.000000,0.000000
1751195793.810400,0.000000,0.000000,0.000000,0.000000
1751195793.910400,0.000000,0.000000,0.000000,0.000000
1751195793.960400,0.000000,0.000000,0.000000,0.000000
1751195794.060400,0.000000,0.000000,0.000000,0.000000
1751195794.110400,0.000000,0.000000,0.000000,0.000000
1751195794.260400,0.000000,0.000000,0.000000,0.000000
1751195794.410500,0.000000,0.000000,0.000000,0.000000
1751195794.460400,0.000000,0.000000,0.000000,0.000000
1751195794.560500,0.000000,0.000000,0.000000,0.000000
1751195794.610500,0.000000,0.000000,0.000000,0.000000
1751195794.710400,0.000000,0.000000,0.000000,0.000000
1751195794.860450,0.000000,0.000000,0.000000,0.000000
1751195794.910350,0.000000,0.000000,0.000000,0.000000
1751195794.960350,0.000000,0.000000,0.000000,0.000000
1751195795.010500,0.000000,0.000000,0.000000,0.000000
1751195795.060350,0.000000,0.000000,0.000000,0.000000
1751195795.310400,0.000000,0.000000,0.000000,0.000000
1751195795.360400,0.000000,0.000000,0.000000,0.000000
1751195795.460500,0.000000,0.000000,0.000000,0.000000
1751195795.510400,0.000000,0.000000,0.000000,0.000000
1751195795.560400,0.000000,0.000000,0.000000,0.000000
1751195795.610450,0.000000,0.000000,0.000000,0.000000
1751195795.710350,0.000000,0.000000,0.000000,0.000000
1751195795.760400,0.000000,0.000000,0.000000,0.000000
1751195795.810400,0.000000,0.000000,0.000000,0.000000
1751195795.960350,0.000000,0.000000,0.000000,0.000000
1751195796.010400,0.000000,0.000000,0.000000,0.000000
1751195796.060400,0.000000,0.000000,0.000000,0.000000
1751195796.110500,0.000000,0.000000,0.000000,0.000000
1751195796.260450,0.000000,0.000000,0.000000,0.000000
1751195796.460450,0.000000,0.000000,0.000000,0.000000
1751195796.610400,0.000000,0.000000,0.000000,0.000000
1751195796.660350,0.000000,0.000000,0.000000,0.000000
1751195796.710350,0.000000,0.000000,0.000000,0.000000
1751195796.760400,0.000000,0.000000,0.000000,0.000000
1751195796.810400,0.000000,0.000000,0.000000,0.000000
1751195796.910550,0.000000,0.000000,0.000000,0.000000
1751195796.960550,0.000000,0.000000,0.000000,0.000000
1751195797.010450,0.000000,0.000000,0.000000,0.000000
1751195797.060500,0.000000,0.000000,0.000000,0.000000
1751195797.110450,0.000000,0.000000,0.000000,0.000000
1751195797.210350,0.000000,0.000000,0.000000,0.000000
1751195797.310350,0.000000,0.000000,0.000000,0.000000
1751195797.360400,0.000000,0.000000,0.000000,0.000000
