t,ams_temp_max_8,ams_temp_max_7,ams_temp_max_6,ams_temp_max_5,ams_temp_max_4,ams_temp_max_3,ams_temp_max_2,ams_temp_max_1
1751195676.432800,32.000000,-31.000000,32.000000,-38.500000,-37.000000,31.500000,31.500000,36.500000
1751195676.474150,32.000000,-33.500000,32.000000,-39.000000,-39.000000,31.500000,31.500000,36.500000
1751195676.526800,32.000000,-31.000000,32.000000,86.500000,-36.000000,31.500000,31.500000,36.500000
1751195676.579400,32.000000,-31.000000,32.000000,85.500000,-35.500000,31.500000,31.500000,36.500000
1751195676.632000,32.000000,-30.500000,32.000000,-39.500000,-37.000000,31.500000,31.500000,36.500000
1751195676.673350,32.000000,-33.500000,32.000000,-38.000000,-36.000000,31.500000,31.500000,36.500000
1751195676.726050,32.000000,-32.500000,32.000000,87.000000,-39.500000,31.500000,31.500000,36.500000
1751195676.778500,32.000000,-33.500000,32.000000,-37.500000,-37.500000,31.500000,31.500000,36.500000
1751195676.831100,32.000000,-33.500000,32.000000,87.000000,-37.000000,31.500000,31.500000,36.500000
1751195676.872500,32.000000,-33.000000,32.000000,-39.500000,-38.000000,31.500000,31.500000,36.500000
1751195676.925150,32.000000,-30.500000,32.000000,-39.000000,-37.000000,31.500000,31.500000,36.500000
1751195676.977700,32.000000,-31.000000,32.000000,-39.000000,-37.500000,31.500000,31.500000,36.500000
1751195677.030250,32.000000,-33.500000,32.000000,-38.500000,-37.000000,31.500000,31.500000,36.500000
1751195677.083000,32.000000,-30.000000,32.000000,-38.000000,-37.500000,31.500000,31.500000,36.500000
1751195677.124100,32.500000,-31.000000,32.000000,-39.500000,-38.500000,31.500000,31.500000,36.500000
1751195677.176750,32.000000,-31.500000,32.000000,-38.500000,-37.000000,31.500000,31.500000,36.500000
1751195677.229250,32.000000,-30.500000,32.000000,87.000000,-36.500000,31.500000,31.500000,36.500000
1751195677.281800,32.000000,-33.000000,32.000000,-39.500000,-36.500000,31.500000,31.500000,36.500000
1751195677.323250,32.000000,-34.000000,32.000000,87.500000,-35.500000,31.500000,31.500000,36.500000
1751195677.375900,32.000000,-30.500000,32.000000,-40.000000,-36.500000,31.500000,31.500000,36.500000
1751195677.428400,32.000000,-31.000000,32.000000,-38.000000,-36.500000,31.500000,31.500000,36.500000
1751195677.480950,32.000000,-33.000000,32.000000,-38.500000,-37.500000,31.500000,31.500000,36.500000
1751195677.522200,32.000000,-32.000000,32.000000,77.500000,-36.500000,31.500000,31.500000,36.500000
1751195677.574850,32.000000,-34.500000,32.000000,-37.500000,-36.500000,31.500000,31.500000,36.500000
1751195677.627350,32.000000,-33.000000,32.000000,87.500000,-37.000000,31.500000,31.500000,36.500000
1751195677.679950,32.000000,-31.500000,32.000000,-36.500000,-37.000000,31.500000,31.500000,36.500000
1751195677.732600,32.000000,-31.000000,32.000000,86.500000,-38.500000,31.500000,31.500000,36.500000
1751195677.773950,32.000000,-33.500000,32.000000,-37.500000,-36.000000,31.500000,31.500000,36.500000
1751195677.826600,32.000000,-33.000000,32.000000,-40.000000,-38.500000,31.500000,31.500000,36.500000
1751195677.879050,32.000000,-30.500000,32.000000,-37.500000,-38.500000,31.500000,31.500000,36.500000
1751195677.931600,32.000000,-31.000000,32.000000,-39.500000,-36.000000,31.500000,31.500000,36.500000
1751195677.972900,32.000000,-34.500000,32.000000,-39.000000,-38.500000,31.500000,31.500000,36.500000
1751195678.025350,32.000000,-31.000000,32.000000,-39.500000,-37.000000,31.500000,31.500000,36.500000
1751195678.077900,32.000000,-31.500000,32.000000,-39.000000,-36.500000,31.500000,31.500000,36.500000
1751195678.130450,32.000000,-33.500000,32.000000,-39.000000,-40.000000,31.500000,31.500000,36.500000
1751195678.183000,32.000000,-29.500000,32.000000,-37.500000,-35.500000,31.500000,31.500000,36.500000
1751195678.224100,32.000000,-31.000000,32.000000,-38.000000,-36.500000,31.500000,31.500000,36.500000
1751195678.276600,32.000000,-34.000000,32.000000,-38.500000,-36.500000,31.500000,31.500000,36.500000
1751195678.329000,32.000000,-32.000000,32.000000,-37.500000,-37.000000,31.500000,31.500000,36.500000
1751195678.381600,32.000000,-32.500000,32.000000,-39.000000,-37.000000,31.500000,31.500000,36.500000
1751195678.422850,32.000000,-35.000000,32.000000,-39.000000,-36.500000,31.500000,31.500000,36.500000
1751195678.475300,32.000000,-13.000000,32.000000,87.000000,-38.000000,31.500000,31.500000,36.500000
1751195678.527850,32.000000,-31.500000,32.500000,87.500000,-38.000000,31.500000,31.500000,36.500000
1751195678.580400,32.000000,-38.000000,32.000000,86.500000,-36.500000,31.500000,31.500000,36.500000
1751195678.633000,32.000000,-30.000000,32.000000,-38.000000,-37.500000,31.500000,31.500000,36.500000
1751195678.674150,32.000000,-35.000000,32.000000,-37.500000,-35.500000,31.500000,31.500000,36.500000
1751195678.726550,32.000000,-33.500000,32.000000,86.500000,-35.000000,31.500000,31.500000,36.500000
1751195678.779000,32.000000,-29.500000,32.000000,87.500000,-39.000000,31.500000,31.500000,36.500000
1751195678.831600,32.000000,-30.500000,32.000000,-38.500000,-36.000000,31.500000,31.500000,36.500000
1751195678.872900,32.000000,-31.000000,32.000000,87.500000,-39.500000,31.500000,31.500000,36.500000
1751195678.925300,32.000000,-31.500000,32.000000,-39.500000,-34.500000,31.500000,31.500000,36.500000
1751195678.977850,32.000000,-33.500000,32.000000,-38.500000,-37.000000,31.500000,31.500000,36.500000
1751195679.030450,32.000000,-34.000000,32.000000,-39.000000,-39.000000,31.500000,31.500000,36.500000
1751195679.083000,32.000000,76.000000,32.500000,-37.500000,-37.500000,31.500000,31.500000,36.500000
1751195679.124200,32.000000,-30.500000,32.000000,-38.500000,-35.500000,31.500000,31.500000,36.500000
1751195679.176650,32.500000,-33.500000,32.000000,-38.000000,-40.000000,31.500000,31.500000,36.500000
1751195679.229150,32.500000,-30.500000,32.000000,-38.500000,-37.500000,31.500000,31.500000,36.500000
1751195679.281700,32.000000,-35.500000,32.000000,-39.000000,-35.500000,31.500000,31.500000,36.500000
1751195679.322950,32.000000,-34.500000,32.000000,86.500000,-39.500000,31.500000,31.500000,36.500000
1751195679.375450,32.000000,-31.000000,32.000000,-39.500000,-36.500000,31.500000,31.500000,36.500000
1751195679.427800,32.000000,-32.500000,32.000000,-39.500000,-37.000000,31.500000,31.500000,36.500000
1751195679.480400,32.000000,-31.000000,32.000000,-39.500000,-36.500000,31.500000,31.500000,36.500000
1751195679.532950,32.000000,-33.500000,32.000000,-38.000000,-39.500000,31.500000,31.500000,36.500000
1751195679.574150,32.000000,-32.000000,32.000000,-39.500000,-37.000000,31.500000,31.500000,36.500000
1751195679.626600,32.000000,-33.500000,32.500000,-38.500000,-37.500000,31.500000,31.500000,36.500000
1751195679.679100,32.000000,-33.000000,32.000000,-37.500000,-37.000000,31.500000,31.500000,36.500000
1751195679.731650,32.000000,-32.500000,32.000000,86.500000,-36.500000,31.500000,31.500000,36.500000
1751195679.772900,32.000000,-31.500000,32.000000,-38.500000,-37.000000,31.500000,31.500000,36.500000
1751195679.825400,32.000000,-31.000000,32.000000,86.500000,-35.000000,31.500000,31.500000,36.000000
1751195679.877800,32.000000,-29.500000,32.000000,-39.000000,-36.500000,31.500000,31.500000,36.500000
1751195679.930350,32.000000,-30.000000,32.000000,-39.000000,-37.000000,31.500000,31.500000,36.500000
1751195679.982900,32.000000,-30.500000,32.000000,-39.000000,-37.000000,31.500000,31.500000,36.500000
1751195680.024100,32.000000,-28.500000,32.000000,-39.000000,-38.000000,31.500000,31.500000,36.500000
1751195680.076550,32.000000,-31.000000,32.000000,-39.000000,-35.000000,31.500000,31.500000,36.000000
1751195680.129050,32.000000,-32.500000,32.000000,-38.000000,-35.000000,31.500000,31.500000,36.500000
1751195680.181600,32.000000,-33.000000,32.000000,87.500000,-39.000000,31.500000,31.500000,36.500000
1751195680.222850,32.000000,-35.000000,32.000000,-35.500000,-35.000000,31.500000,31.500000,36.500000
1751195680.275350,33.000000,-33.000000,32.000000,86.000000,-35.500000,31.500000,31.500000,36.500000
1751195680.327900,32.000000,-30.500000,32.000000,-39.500000,-36.000000,31.500000,31.500000,36.500000
1751195680.380500,32.000000,-32.500000,32.000000,-38.500000,-36.000000,31.500000,31.500000,36.500000
1751195680.433250,32.000000,-30.500000,32.000000,-38.500000,-37.500000,31.500000,31.500000,36.500000
1751195680.474700,32.000000,-32.000000,32.000000,86.000000,-40.000000,31.500000,31.500000,36.500000
1751195680.527450,32.000000,-30.500000,32.000000,-38.000000,-36.500000,31.500000,31.500000,36.500000
1751195680.580150,32.000000,82.500000,32.000000,-39.000000,-36.500000,31.500000,31.500000,36.500000
1751195680.632950,32.000000,-29.500000,32.000000,-38.000000,-36.000000,31.500000,31.500000,36.500000
1751195680.674200,32.000000,-33.500000,32.000000,-40.000000,-36.500000,31.500000,31.500000,36.500000
1751195680.726750,32.000000,-31.500000,32.000000,-40.000000,-37.500000,31.500000,31.500000,36.500000
1751195680.779450,32.000000,-31.500000,32.000000,-38.500000,-36.000000,31.500000,31.500000,36.500000
