t,PDU_CH8_current,PDU_CH7_current,PDU_CH6_current,PDU_CH5_current,PDU_CH4_current,PDU_CH3_current,PDU_CH2_current,PDU_CH1_current
1751195832.857500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.120000
1751195832.907500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195832.957500,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195833.007500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195833.057500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195833.107500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.120000
1751195833.157450,1.680000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.120000
1751195833.207500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195833.257500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.120000
1751195833.307450,1.680000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.120000
1751195833.357500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195833.407450,1.680000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195833.457450,1.680000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195833.507500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195833.557550,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195833.607500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195833.657500,1.680000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.120000
1751195833.707500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195833.757500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.120000
1751195833.807500,1.680000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195833.857500,1.680000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195833.907500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195833.957500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.120000
1751195834.007500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195834.057500,1.680000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.120000
1751195834.107500,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195834.157500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195834.207500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195834.257500,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.120000
1751195834.307500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195834.357500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.120000
1751195834.407500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195834.457500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.120000
1751195834.507500,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195834.557500,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.120000
1751195834.607550,1.720000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195834.657550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195834.707550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195834.757550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195834.807550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195834.857550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195834.907550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195834.957550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195835.007550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.120000
1751195835.057550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195835.107550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195835.157550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195835.207500,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.120000
1751195835.257550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195835.307550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.120000
1751195835.357550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195835.407550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.160000
1751195835.457500,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195835.507550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195835.557550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195835.607500,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195835.657550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195835.707500,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195835.757500,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195835.807550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195835.857500,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195835.907550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195835.957550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.007550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.057550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.107550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.157550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.207600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.257550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.307550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
