t,ams_reset,ams_stop_charging,ams_charging_request,ams_precharge_req,ams_balancing_req
1751195816.033350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.043450,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.053400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.063350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.073350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.083550,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.093350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.103350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.113350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.123450,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.133350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.143350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.153350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.163350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.173600,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.183350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.193350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.203350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.213400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.223350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.233350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.243550,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.253350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.263350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.273350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.283400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.293350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.303350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.313350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.323600,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.333350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.343350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.353350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.363350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.373600,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.383350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.393350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.403350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.413400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.423350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.433400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.443450,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.453350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.463350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.473350,0.000000,0.000000,0.000000,1.000000,0.000000
