t,sensor_imu_yawrate,sensor_imu_velocity,sensor_imu_accel_y,sensor_imu_accel_x
1751195702.159100,0.000000,0.000000,0.000000,-0.003050
1751195702.209150,0.000000,0.000000,0.000000,0.000000
1751195702.259300,0.000000,0.000000,0.000000,-0.003050
1751195702.309350,0.000000,0.000000,0.000000,0.000000
1751195702.359150,0.000000,0.000000,0.000000,0.000000
1751195702.409300,0.000000,0.000000,0.000000,0.000000
1751195702.459150,-0.009150,0.000000,0.000000,0.000000
1751195702.509100,-0.009150,0.000000,0.000000,0.000000
1751195702.559350,-0.009150,0.000000,0.000000,0.000000
1751195702.659150,0.000000,119.929050,0.000000,0.000000
1751195702.709350,0.000000,119.929050,0.000000,0.000000
1751195702.759300,0.000000,119.929050,0.000000,-0.003050
1751195702.809150,0.000000,119.929050,0.000000,0.000000
1751195702.859200,29.225100,0.000000,0.000000,0.000000
1751195702.909200,30.478650,0.000000,0.000000,-0.003050
1751195703.009150,31.732200,0.000000,0.000000,0.000000
1751195703.059350,-0.009150,0.000000,0.000000,0.000000
1751195703.109350,-0.009150,0.000000,0.000000,0.000000
1751195703.159300,-0.009150,0.000000,0.000000,0.000000
1751195703.209250,-0.009150,0.000000,0.000000,0.000000
1751195703.259350,-0.009150,0.000000,0.000000,-0.051850
1751195703.309100,-0.009150,0.000000,0.000000,0.000000
1751195703.359150,0.000000,0.000000,0.000000,0.000000
1751195703.459150,0.000000,0.000000,0.000000,0.000000
1751195703.559150,0.000000,0.000000,0.000000,0.000000
1751195703.609350,0.000000,0.000000,0.000000,0.000000
1751195703.809300,0.000000,0.000000,0.000000,0.000000
1751195703.859200,0.000000,119.929050,0.000000,0.000000
1751195703.909250,0.000000,119.929050,0.000000,0.000000
1751195703.959150,0.000000,119.929050,0.000000,0.000000
1751195704.059150,-0.009150,0.000000,0.000000,0.000000
1751195704.109300,-216.607950,0.000000,0.000000,9.171350
1751195704.159200,-216.607950,0.000000,0.000000,9.778300
1751195704.209150,-216.607950,0.000000,0.000000,9.622750
1751195704.259300,0.000000,119.929050,0.000000,10.458450
1751195704.309300,0.000000,119.929050,0.000000,10.031450
1751195704.559200,0.000000,0.000000,0.000000,10.354750
1751195704.659250,0.000000,6.522120,0.000000,10.385250
1751195704.709200,-0.009150,119.929050,0.000000,-0.045750
1751195704.759300,-0.009150,119.929050,0.000000,0.000000
1751195704.809200,-0.009150,119.929050,0.000000,0.000000
1751195704.859350,-0.009150,0.000000,0.000000,-27.074850
1751195704.909300,-0.009150,0.000000,0.000000,0.000000
1751195704.959200,-0.009150,0.000000,0.000000,0.000000
1751195705.059350,0.000000,119.929050,0.000000,-21.429300
1751195705.109200,0.000000,119.929050,0.000000,-16.537100
1751195705.159250,0.000000,0.000000,0.000000,0.000000
1751195705.209200,0.000000,0.000000,0.000000,0.000000
1751195705.259250,0.000000,0.000000,0.000000,0.000000
1751195705.309300,0.000000,0.000000,0.000000,0.000000
1751195705.409200,0.000000,0.000000,0.000000,0.000000
1751195705.459400,0.000000,0.000000,0.000000,0.000000
1751195705.659200,0.000000,0.000000,0.000000,0.000000
1751195705.759200,0.000000,0.000000,0.000000,0.000000
1751195705.859300,0.000000,0.000000,0.000000,0.000000
1751195705.909200,0.000000,0.000000,0.000000,0.000000
1751195706.059250,0.000000,0.000000,0.000000,0.000000
1751195706.109200,0.000000,0.000000,0.000000,0.000000
1751195706.159250,0.000000,0.000000,0.000000,0.000000
1751195706.209250,0.000000,0.000000,0.000000,-0.003050
1751195706.309300,0.000000,0.000000,0.000000,0.000000
1751195706.359300,0.000000,0.000000,0.000000,0.000000
1751195706.509200,0.000000,0.000000,0.000000,0.000000
1751195706.559250,0.000000,0.000000,0.000000,0.000000
1751195706.659250,-0.009150,0.000000,0.000000,0.000000
1751195706.709200,-0.009150,0.000000,0.000000,0.000000
1751195706.809200,-0.009150,0.000000,0.000000,-0.003050
1751195706.909200,-0.009150,0.000000,0.000000,0.000000
1751195706.959250,-0.009150,0.000000,0.000000,0.070150
1751195707.059350,0.000000,0.000000,0.000000,0.000000
1751195707.159300,0.000000,0.000000,0.000000,-0.003050
1751195707.209400,0.000000,0.000000,0.000000,-0.003050
1751195707.259250,0.000000,0.000000,0.000000,0.000000
1751195707.359250,0.000000,0.000000,0.000000,0.000000
1751195707.409350,0.000000,0.000000,0.000000,0.000000
1751195707.609350,0.000000,0.000000,0.000000,0.000000
1751195707.659300,0.000000,0.000000,0.000000,0.000000
1751195707.709250,0.000000,0.000000,0.000000,0.000000
1751195707.809250,0.000000,0.000000,0.000000,0.000000
1751195707.859250,0.000000,0.000000,0.000000,0.000000
1751195707.959450,0.000000,0.000000,0.000000,0.000000
1751195708.009350,0.000000,0.000000,0.000000,0.000000
1751195708.059250,0.000000,0.000000,0.000000,-0.003050
1751195708.159250,0.000000,0.000000,0.000000,-0.003050
1751195708.209250,0.000000,0.000000,0.000000,-9.241500
1751195708.259400,0.000000,0.000000,0.000000,0.000000
1751195708.309300,0.000000,0.000000,0.000000,0.000000
1751195708.459300,0.000000,0.000000,0.000000,-15.945400
1751195708.509300,0.000000,0.000000,0.000000,-0.003050
1751195708.609250,0.000000,0.000000,0.000000,10.604850
1751195708.659250,0.000000,0.000000,0.000000,0.000000
1751195708.709250,-0.009150,6.430620,0.000000,-0.003050
1751195708.759250,-0.009150,6.430620,0.000000,0.030500
1751195708.809400,-0.009150,6.430620,0.000000,-0.012200
1751195708.909250,-0.009150,6.432450,0.000000,0.042700
1751195709.009250,-0.009150,6.432450,0.000000,0.042700
1751195709.059350,-0.009150,6.430620,0.000000,0.009150
1751195709.159250,-0.009150,6.430620,0.000000,0.039650
1751195709.209250,-0.009150,6.430620,0.000000,0.000000
1751195709.259300,-0.009150,6.430620,0.000000,0.000000
1751195709.409450,-0.009150,6.430620,0.000000,-0.118950
1751195709.459300,-0.009150,6.426960,0.000000,0.018300
1751195709.509300,-0.009150,6.426960,0.000000,-0.118950
1751195709.559350,-0.009150,6.426960,0.000000,-0.076250
1751195709.609250,-0.009150,6.426960,0.000000,0.042700
1751195709.659350,-0.009150,6.428790,0.000000,0.021350
1751195709.709400,-0.009150,6.428790,0.000000,-0.015250
1751195709.759450,-0.009150,6.428790,0.000000,-0.039650
1751195709.809300,-0.009150,6.428790,0.000000,0.048800
1751195709.859350,-0.009150,6.428790,0.000000,-0.079300
1751195709.909250,-0.009150,6.428790,0.000000,0.000000
1751195709.959250,-0.009150,6.428790,0.000000,-0.082350
1751195710.009300,-0.009150,6.428790,0.000000,0.100650
1751195710.059300,-0.009150,6.428790,0.000000,0.000000
1751195710.209300,-0.009150,6.428790,0.000000,-0.128100
1751195710.259350,-0.009150,6.428790,0.000000,0.219600
1751195710.309400,-0.009150,6.428790,0.000000,-0.115900
1751195710.409250,-0.009150,6.428790,0.000000,0.137250
1751195710.459300,-0.009150,6.428790,0.000000,-0.036600
1751195710.509300,-0.009150,6.428790,0.000000,0.030500
1751195710.559350,-0.009150,6.428790,0.000000,-0.061000
1751195710.609400,-0.009150,6.428790,0.000000,0.045750
1751195710.659250,-0.009150,6.430620,0.000000,-0.003050
1751195710.709500,-0.009150,6.430620,0.000000,-0.097600
1751195710.759300,-0.009150,0.000000,0.000000,-0.045750
1751195710.909500,3.193350,0.000000,0.000000,-0.003050
1751195710.959450,3.193350,0.000000,0.000000,-0.003050
1751195711.009400,3.193350,0.000000,0.000000,0.000000
1751195711.109300,3.193350,0.000000,0.000000,0.009150
1751195711.159300,3.193350,0.000000,0.000000,0.000000
1751195711.209300,3.193350,0.000000,0.000000,0.000000
1751195711.259300,3.193350,0.000000,0.000000,0.000000
1751195711.409300,3.193350,0.000000,0.000000,0.003050
1751195711.559350,3.193350,0.000000,0.000000,0.000000
1751195711.609300,3.193350,0.000000,0.000000,0.000000
1751195711.659450,3.193350,0.000000,0.000000,-0.003050
1751195711.709300,3.193350,0.000000,0.000000,0.000000
1751195711.759300,3.193350,0.000000,0.000000,0.000000
1751195711.809500,3.193350,0.000000,0.000000,0.000000
1751195711.859400,3.193350,0.000000,0.000000,-0.003050
1751195711.909400,3.193350,0.000000,0.000000,0.000000
1751195711.959450,3.193350,0.000000,0.000000,0.000000
1751195712.009300,3.193350,0.000000,0.000000,0.000000
1751195712.059300,3.193350,0.000000,0.000000,0.000000
1751195712.209300,3.193350,0.000000,0.000000,0.000000
1751195712.259300,3.193350,0.000000,0.000000,0.000000
1751195712.309500,3.193350,0.000000,0.000000,0.000000
1751195712.359400,3.193350,0.000000,0.000000,0.000000
1751195712.409400,3.193350,0.000000,0.000000,0.000000
1751195712.459350,3.193350,0.000000,0.000000,0.000000
1751195712.509350,3.193350,0.000000,0.000000,0.000000
1751195712.559350,3.193350,0.000000,0.000000,0.000000
1751195712.609550,3.193350,0.000000,0.000000,0.000000
1751195712.659450,3.193350,0.000000,0.000000,36.493250
1751195712.709500,3.193350,0.000000,0.000000,0.000000
1751195712.809300,3.193350,0.000000,0.000000,0.000000
1751195712.859350,3.193350,0.000000,0.000000,0.000000
1751195712.909450,3.193350,0.000000,0.000000,0.000000
1751195712.959450,3.193350,0.000000,0.000000,0.000000
1751195713.009400,3.193350,0.000000,0.000000,0.000000
1751195713.109350,3.193350,0.000000,0.000000,0.000000
1751195713.209550,3.193350,0.000000,0.000000,0.000000
1751195713.259350,3.193350,0.000000,0.000000,-28.261300
1751195713.309350,3.193350,0.000000,0.000000,0.000000
1751195713.359450,3.193350,0.000000,0.000000,0.000000
1751195713.459300,3.193350,0.000000,0.000000,0.000000
1751195713.559300,3.193350,0.000000,0.000000,77.970200
1751195713.609400,3.193350,0.000000,0.000000,0.000000
1751195713.709300,3.193350,0.000000,0.000000,0.000000
1751195713.809500,3.193350,0.000000,0.000000,-11.803500
1751195713.909500,3.193350,0.000000,0.000000,-0.003050
1751195713.959550,3.193350,0.000000,0.000000,0.000000
1751195714.009500,3.193350,0.000000,0.000000,0.000000
1751195714.059400,3.193350,0.000000,0.000000,-0.003050
