t,sensor_spring_travel_fr,sensor_spring_travel_fl,sensor_brake_temp_fr,sensor_brake_temp_fl
1751195539006,62.0496,61.6104,0.0,0.0
1751195539056,62.001,62.1972,0.0,0.0
1751195539106,61.7814,62.514,0.0,0.0
1751195539157,61.6104,62.5392,0.0,0.0
1751195539206,61.416,62.5878,0.0,0.0
1751195539257,61.3674,62.5878,0.0,0.0
1751195539306,61.2936,62.5878,0.0,0.0
1751195539357,61.2936,62.6616,0.0,0.0
1751195539406,61.3908,62.8074,0.0,0.0
1751195539457,61.4394,61.245,0.0,0.0
1751195539506,61.9038,61.5132,0.0,0.0
1751195539557,62.001,61.659,0.0,0.0
1751195539606,62.172,61.2936,0.0,0.0
1751195539656,62.3196,61.2936,0.0,0.0
1751195539706,62.343,61.4394,0.0,0.0
1751195539756,62.3682,61.5618,0.0,0.0
1751195539806,60.8544,62.3196,0.0,0.0
1751195539856,60.39,64.395,0.0,0.0
1751195539907,59.9994,64.4688,0.0,0.0
1751195539956,59.5836,64.908,0.0,0.0
1751195540007,58.7538,64.1502,0.0,0.0
1751195540056,59.3154,64.224,0.0,0.0
1751195540106,59.4378,64.2726,0.0,0.0
1751195540157,60.3414,62.3916,0.0,0.0
1751195540207,61.0974,61.9038,0.0,0.0
1751195540257,61.416,62.172,0.0,0.0
1751195540306,61.7814,61.659,0.0,0.0
1751195540356,61.7814,61.5132,0.0,0.0
1751195540407,62.0262,61.416,0.0,0.0
1751195540456,62.001,61.317,0.0,0.0
1751195540507,62.0496,61.3422,0.0,0.0
1751195540556,62.0496,61.6356,0.0,0.0
1751195540606,61.7328,61.8786,0.0,0.0
1751195540656,61.587,61.929,0.0,0.0
1751195540707,61.416,61.8786,0.0,0.0
1751195540757,61.4394,62.1972,0.0,0.0
1751195540806,61.5384,62.343,0.0,0.0
1751195540856,61.2936,62.343,0.0,0.0
1751195540907,61.3674,62.5626,0.0,0.0
1751195540956,61.1712,62.5878,0.0,0.0
1751195541006,60.8778,62.5878,0.0,0.0
1751195541056,60.8544,63.1494,0.0,0.0
1751195541107,60.5358,63.3204,0.0,0.0
1751195541157,60.6582,63.3204,0.0,0.0
1751195541206,60.7806,63.3204,0.0,0.0
1751195541256,60.6348,63.2466,0.0,0.0
1751195541307,60.561,63.198,0.0,0.0
1751195541357,60.5358,63.2232,0.0,0.0
1751195541406,60.6834,63.4914,0.0,0.0
1751195541457,60.3648,63.4662,0.0,0.0
1751195541506,60.4134,63.4914,0.0,0.0
1751195541557,60.2928,63.3204,0.0,0.0
1751195541607,60.3414,63.369,0.0,0.0
1751195541657,60.4134,63.4176,0.0,0.0
1751195541707,60.5358,63.54,0.0,0.0
1751195541756,60.5358,63.4176,0.0,0.0
1751195541806,60.4386,63.3204,0.0,0.0
1751195541857,60.4872,63.2718,0.0,0.0
1751195541906,60.5358,63.1494,0.0,0.0
1751195541956,60.7806,63.2952,0.0,0.0
1751195542007,60.8058,63.2718,0.0,0.0
1751195542057,60.732,63.2718,0.0,0.0
1751195542106,60.5358,63.2232,0.0,0.0
1751195542157,60.5358,63.3942,0.0,0.0
1751195542207,60.4134,63.369,0.0,0.0
1751195542256,60.5358,63.4176,0.0,0.0
1751195542307,60.5844,63.3438,0.0,0.0
1751195542356,60.732,63.4176,0.0,0.0
1751195542407,60.5124,62.9532,0.0,0.0
1751195542457,60.5844,62.5626,0.0,0.0
1751195542506,61.0002,62.7822,0.0,0.0
1751195542557,60.8292,62.7822,0.0,0.0
1751195542607,60.7554,63.1008,0.0,0.0
1751195542657,60.4386,63.1008,0.0,0.0
1751195542707,60.39,63.1746,0.0,0.0
1751195542756,60.5124,63.1746,0.0,0.0
1751195542806,60.732,62.9532,0.0,0.0
1751195542856,60.9264,63.1494,0.0,0.0
1751195542907,60.6348,62.9532,0.0,0.0
1751195542956,60.4872,62.7822,0.0,0.0
1751195543007,60.561,63.0036,0.0,0.0
1751195543056,60.5124,62.6616,0.0,0.0
1751195543107,60.7806,62.7336,0.0,0.0
1751195543157,60.903,63.1746,0.0,0.0
1751195543206,60.6348,62.9298,0.0,0.0
1751195543257,60.39,62.6112,0.0,0.0
1751195543307,60.4872,63.0036,0.0,0.0
1751195543357,60.6582,63.2952,0.0,0.0
1751195543407,60.0966,62.8074,0.0,0.0
1751195543456,60.3648,62.8074,0.0,0.0
1751195543507,60.4872,63.1008,0.0,0.0
1751195543556,60.5358,63.1494,0.0,0.0
1751195543607,60.5124,62.9046,0.0,0.0
1751195543657,60.5844,63.1494,0.0,0.0
1751195543707,60.3648,63.3942,0.0,0.0
1751195543756,60.1218,63.4914,0.0,0.0
1751195543807,59.877,63.54,0.0,0.0
1751195543856,59.9742,63.5148,0.0,0.0
1751195543907,60.1704,63.5886,0.0,0.0
1751195543956,59.9994,63.4428,0.0,0.0
1751195544006,59.9994,63.5148,0.0,0.0
1751195544057,59.9508,63.6858,0.0,0.0
1751195544106,59.877,63.3438,0.0,0.0
