t,amk_torque_limit_neg_right,amk_torque_limit_pos_right,amk_torque_target_right,amk_control_right
1751195985.069400,0.000000,214.200000,61.400000,1795.000000
1751195985.079450,0.000000,214.200000,61.400000,1795.000000
1751195985.089400,0.000000,214.200000,61.400000,1795.000000
1751195985.099450,0.000000,214.200000,61.400000,1795.000000
1751195985.109400,0.000000,214.200000,61.400000,1795.000000
1751195985.119450,0.000000,214.200000,59.700000,1795.000000
1751195985.129500,0.000000,214.200000,59.700000,1795.000000
1751195985.139400,0.000000,214.200000,59.700000,1795.000000
1751195985.149500,0.000000,214.200000,59.700000,1795.000000
1751195985.159450,0.000000,214.200000,59.700000,1795.000000
1751195985.169700,0.000000,214.200000,46.900000,1795.000000
1751195985.179450,0.000000,214.200000,46.900000,1795.000000
1751195985.189450,0.000000,214.200000,46.900000,1795.000000
1751195985.199700,0.000000,214.200000,46.900000,1795.000000
1751195985.209450,0.000000,214.200000,46.900000,1795.000000
1751195985.219400,0.000000,214.200000,40.100000,1795.000000
1751195985.229450,0.000000,214.200000,40.100000,1795.000000
1751195985.239450,0.000000,214.200000,40.100000,1795.000000
1751195985.249450,0.000000,214.200000,40.100000,1795.000000
1751195985.259450,0.000000,214.200000,40.100000,1795.000000
1751195985.269450,0.000000,214.200000,40.100000,1795.000000
1751195985.279500,0.000000,214.200000,40.100000,1795.000000
1751195985.289400,0.000000,214.200000,40.100000,1795.000000
1751195985.299450,0.000000,214.200000,40.100000,1795.000000
1751195985.309450,0.000000,214.200000,40.100000,1795.000000
1751195985.319450,0.000000,214.200000,39.300000,1795.000000
1751195985.329450,0.000000,214.200000,39.300000,1795.000000
1751195985.339450,0.000000,214.200000,39.300000,1795.000000
1751195985.349450,0.000000,214.200000,39.300000,1795.000000
1751195985.359450,0.000000,214.200000,39.300000,1795.000000
1751195985.369650,0.000000,214.200000,40.100000,1795.000000
1751195985.379450,0.000000,214.200000,40.100000,1795.000000
1751195985.389400,0.000000,214.200000,40.100000,1795.000000
1751195985.399700,0.000000,214.200000,40.100000,1795.000000
1751195985.409400,0.000000,214.200000,40.100000,1795.000000
1751195985.419450,0.000000,214.200000,40.100000,1795.000000
1751195985.429450,0.000000,214.200000,40.100000,1795.000000
1751195985.439450,0.000000,214.200000,40.100000,1795.000000
1751195985.449450,0.000000,214.200000,40.100000,1795.000000
1751195985.459450,0.000000,214.200000,40.100000,1795.000000
1751195985.469400,0.000000,214.200000,39.300000,1795.000000
1751195985.479450,0.000000,214.200000,39.300000,1795.000000
1751195985.489450,0.000000,214.200000,39.300000,1795.000000
1751195985.499400,0.000000,214.200000,39.300000,1795.000000
1751195985.509450,0.000000,214.200000,39.300000,1795.000000
1751195985.519400,0.000000,214.200000,31.600000,1795.000000
1751195985.529450,0.000000,214.200000,31.600000,1795.000000
1751195985.539450,0.000000,214.200000,31.600000,1795.000000
1751195985.549450,0.000000,214.200000,31.600000,1795.000000
1751195985.559400,0.000000,214.200000,31.600000,1795.000000
1751195985.569450,0.000000,214.200000,26.500000,1795.000000
1751195985.579650,0.000000,214.200000,26.500000,1795.000000
1751195985.589450,0.000000,214.200000,26.500000,1795.000000
1751195985.599450,0.000000,214.200000,26.500000,1795.000000
