t,sensor_apps_valid,sensor_brake_pressure_f,sensor_wheel_speed_fr,sensor_wheel_speed_fl,sensor_steering_angle,sensor_brake_pressure_r,sensor_apps
1751195772.709750,1.000000,4.800000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195772.759500,1.000000,4.800000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195772.809550,1.000000,4.800000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195772.859800,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195772.909900,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195772.959250,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195773.009750,1.000000,4.800000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195773.059600,1.000000,4.800000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195773.109400,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195773.159500,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195773.209650,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195773.259750,1.000000,4.800000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195773.309550,1.000000,4.800000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195773.359800,1.000000,4.800000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195773.409350,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195773.459250,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195773.509350,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195773.559250,1.000000,4.960000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195773.609450,1.000000,4.800000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195773.659400,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195773.709650,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195773.759300,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195773.809750,1.000000,4.800000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195773.859700,1.000000,4.800000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195773.909650,1.000000,4.800000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195773.959450,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195774.009450,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195774.059300,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195774.109700,1.000000,4.960000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195774.159800,1.000000,4.960000,0.000000,0.000000,-20.000000,3.200000,2.000000
