t,dash_btn2_pressed,dash_btn1_pressed,st_wheel_btn4_pressed,st_wheel_btn3_pressed,st_wheel_btn2_pressed,st_wheel_btn1_pressed
1751195606.152200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195606.202200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195606.252250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195606.302200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195606.352200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195606.402200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195606.452200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195606.502250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195606.552200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195606.602200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195606.652200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195606.702200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195606.752200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195606.802200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195606.852200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195606.902200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195606.952200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.002200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.052200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.102200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.152200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.202200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.252200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.302200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.352200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.402200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
