t,ams_voltage_max_9
1751195534.407000,3.990000
1751195534.418250,3.990000
1751195534.436900,3.990000
1751195534.448200,3.990000
1751195534.459450,3.990000
1751195534.470650,3.990000
1751195534.489400,3.990000
1751195534.511950,3.990000
1751195534.523200,3.990000
1751195534.541950,3.990000
1751195534.553250,3.990000
1751195534.564500,3.990000
1751195534.583150,3.990000
1751195534.594400,3.990000
1751195534.605700,3.990000
1751195534.616950,3.990000
1751195534.635600,3.990000
1751195534.646900,3.990000
1751195534.658150,3.990000
1751195534.669450,3.990000
1751195534.688100,3.990000
1751195534.699350,3.990000
1751195534.721900,3.990000
1751195534.751900,3.990000
1751195534.763200,3.990000
1751195534.774500,3.990000
1751195534.793100,3.990000
1751195534.804400,3.990000
1751195534.815650,3.990000
1751195534.834400,3.990000
1751195534.845700,3.990000
1751195534.857000,3.990000
1751195534.868250,3.990000
1751195534.886900,3.990000
1751195534.898150,3.990000
1751195534.909450,3.990000
1751195534.920650,3.990000
1751195534.939350,3.990000
1751195534.961900,3.990000
1751195534.973200,3.990000
1751195534.991950,3.990000
1751195535.003250,3.990000
1751195535.014500,3.990000
1751195535.033150,3.990000
1751195535.044450,3.990000
1751195535.055700,3.990000
1751195535.067000,3.990000
1751195535.085650,3.990000
1751195535.096900,3.990000
1751195535.108200,3.990000
1751195535.119500,3.990000
1751195535.138100,3.990000
1751195535.149400,3.990000
1751195535.160600,3.990000
1751195535.171950,3.990000
1751195535.190600,3.990000
1751195535.201950,3.990000
1751195535.213250,3.990000
1751195535.224550,3.990000
1751195535.243150,3.990000
1751195535.254450,3.990000
1751195535.265700,3.990000
1751195535.284450,3.990000
1751195535.295700,3.990000
1751195535.307000,3.990000
1751195535.318250,3.990000
1751195535.336900,3.990000
1751195535.348200,3.990000
1751195535.359450,3.990000
1751195535.370750,3.990000
1751195535.389500,3.990000
1751195535.400800,3.990000
1751195535.412050,3.990000
1751195535.423350,3.990000
1751195535.442100,3.990000
1751195535.453350,3.990000
1751195535.464650,3.990000
1751195535.483300,3.990000
1751195535.494550,3.990000
1751195535.505850,3.990000
1751195535.517100,3.990000
1751195535.535750,3.990000
1751195535.547050,3.990000
1751195535.558300,3.990000
1751195535.569600,3.990000
1751195535.588250,3.990000
1751195535.599500,3.990000
1751195535.610800,3.990000
1751195535.622050,3.990000
1751195535.640800,3.990000
1751195535.652050,3.990000
1751195535.663350,3.990000
1751195535.674600,3.990000
1751195535.693250,3.990000
1751195535.704550,3.990000
1751195535.715800,3.990000
1751195535.734450,3.990000
1751195535.745750,3.990000
1751195535.757000,3.990000
1751195535.768300,3.990000
1751195535.786950,3.990000
1751195535.798200,3.990000
1751195535.809500,3.990000
1751195535.820800,3.990000
1751195535.839500,3.990000
1751195535.850850,3.990000
1751195535.862050,3.990000
1751195535.873400,3.990000
1751195535.892100,3.990000
1751195535.903400,3.990000
1751195535.914650,3.990000
1751195535.933300,3.990000
1751195535.944600,3.990000
1751195535.955850,3.990000
1751195535.967150,3.990000
1751195535.985800,3.990000
1751195535.997050,3.990000
1751195536.008350,3.990000
1751195536.019600,3.990000
1751195536.038250,3.990000
1751195536.049550,3.990000
1751195536.060800,3.990000
1751195536.072100,3.990000
1751195536.090800,3.990000
1751195536.102100,3.990000
1751195536.113350,3.990000
1751195536.124650,3.990000
1751195536.143300,3.990000
1751195536.154550,3.990000
1751195536.165850,3.990000
1751195536.184500,3.990000
