t,ams_voltage_min_8,ams_voltage_min_7,ams_voltage_min_6,ams_voltage_min_5,ams_voltage_min_4,ams_voltage_min_3,ams_voltage_min_2,ams_voltage_min_1
1751195522.882950,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.894250,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.905500,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.916800,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.935400,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.946700,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.957950,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.969250,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.987850,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195522.999150,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.010450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.021700,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.040400,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.051700,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.063000,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.074250,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.092900,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.104150,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.115450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.134200,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.145450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
